Song-Name,Singer/Artists,Genre
Ek Mulaqat,Jubin Nautiyal,RomanticSad
Suraj Hua Maddham,"Alka Yagnik, Sonu Nigam",
Aa Toh Sahii,"Meet Bros, Neha Kakkar",Dance
Nazm Nazm,Arko,Romantic
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",Romantic
Toota Jo Kabhi Tara,"Atif Aslam, Sumedha Karmahe",Sad
Say “Shava Shava”,"Aadesh, Alka Yagnik, Amitabh Bachchan, Sudesh Bhosle, Sunidhi Chauhan",Dance
Sunn Raha Hai (Male),Ankit Tiwari,Sad
Tu Banja Gali Benaras Ki,Asit Tripathy,Romantic
Khuda Bhi,Mohit Chauhan,Romantic
Chaar Botal Vodka,Yo Yo Honey Singh,Dance
Chaar Botal Vodka,Yo Yo Honey Singh,Dance
Selfie Le Le Re,"Badshah, Nakash Aziz, Pritam, Vishal Dadlani",Dance
India Wale,"K.K., Neeti Mohan, Shankar Mahadevan, Vishal Dadlani",Dance
Kudi Gujarat Di,"Akasa Singh, Jasbir Jassi, Sonia Sharma",Dance
Lag Ja Gale,Rahat Fateh Ali Khan,Romantic
O O Jaane Jaana,Kamaal khan,Dance
Fevicol Se,"Keerthi Sagathia, Mamta Sharma, Shadab Faridi, Uvie, Wajid",Dance
Tishnagi,"Dev Negi, Sunidhi Chauhan",Sensual
Saiyaara,"Mohit Chauhan, Tarannum Malik",Sad
Jab Mehndi Lag Lag Jaave,"Shreya Ghoshal, Sonu Nigam",Dance
Tu Jo Mila,K.K.,
Baarish (Atif Aslam),Atif Aslam,Romantic
Akkad Bakkad,"Badshah, Neha Kakkar",Dance
Tum Ho Toh Lagta Hai,Shaan,Romantic
Kya Khoob Lagti Ho,,Dance
Kya Khoob Lagti Ho,"Kanchan, Mukesh",Romantic
Saturday,"Akriti Kakar, Badshah, Indeep Bakshi",Dance
Dard Karaara,"Kumar Sanu, Sadhana Sargam",Romantic
Akhiyaan Milaoon Kabhi,"Alka Yagnik, Udit Narayan",Dance
Mere Humsafar,"Mithoon, Tulsi Kumar",Sad
Hangover,"Anjjan, Meet Bros, Salman Khan, Shreya Ghoshal",Romantic
Mind Blowing,Mika Singh,Dance
Jaaneman Aah,"Aaman Trikha, Antara Mitra",Dance
Dangal,Daler Mehndi,Motivational
Jag Ghoomeya (Female),Neha Bhasin,Romantic
Madamiyan,"Mamta Sharma, Mika Singh",Dance
Hum Nahi Sudhrenge,Armaan Malik,Dance
Aye Watan Tere Liye,"Kavita Krishnamurthy, Mohammad Aziz",Patriotic
Tu Hai,"A.R. Rahman, Sanah Moidutty",Romantic
Likhne Wale Ne Likh Dale,"Lata Mangeshkar, Suresh Wadkar",Dance
Duniya Bananewale,Mukesh,Sad
Bum Bum Bole,Shaan,Dance
Hans Mat Pagli,"Shreya Ghoshal, Sonu Nigam",Romantic
Butterfly,"Aaman Trikha, Dev Negi, Jyoti Nooran, Sultana Nooran, Sunidhi Chauhan",Dance
Nayak Nahi Khalnayak Hoon Main,"Kavita Krishnamurthy, Vinod Rathod",Dance
Saree Ke Fall Sa,"Antara Mitra, Nakash Aziz",Dance
Galla Goriyan – Aaja Soniye,"Kanika Kapoor, Mika Singh",Dance
Mubarakan Title Song,"Badshah, Juggy D, Sukriti Kakar, Yash Narvekar",Dance
Nachdi Phira,Meghna Mishra,Sad
Maula Mere Maula,Roop Kumar Rathod,Romantic
Raah Mein Unse Mulaqat,"Alka Yagnik, Kumar Sanu",Romantic
Resham Ka Rumaal,"Sonia Sharma, Toshi Sabri",Dance
Twist Kamariya,"Altamash Faridi, Harshdeep Kaur, Tanishk Baagchi, Yasser Desai",Dance
Ram Chahe Leela,Bhoomi Trivedi,Dance
Ram Chahe Leela,Bhoomi Trivedi,Dance
Kukkad Kamaal Da,"Marianne, Nisha Mascarenhas, Shahid Mallya",Dance
Aa Jao Na,"Arijit Singh, Shashwat Sachdev",Sad
Banjaara,"Mohammed Irfan, Shashaa Tirupati",Romantic
Radha Kaise Na Jale,"Asha Bhosle, Udit Narayan",DanceRomantic
Bewajah,Himesh Reshammiya,Sad
London Thumakda,"Labh Janjua, Neha Kakkar, Sonu Kakkar",Dance
Aashiq Banaya Aapne,"Himesh Reshammiya, Shreya Ghoshal",Sensual
Kheench Meri Photo,"Akasa Singh, Darshan Raval, Neeti Mohan",Dance
Aayega Maza Ab Barsaat Ka,"Alka Yagnik, Babul Supriyo",Romantic
Bewafa Beauty,Pawni Pandey,
Birthday Bash,"Alfaaz, Yo Yo Honey Singh",Dance
Jumme Ki Raat,"Mika Singh, Palak Muchhal",Dance
Jab Koi Baat Bigad Jaye,"Kumar Sanu, Sadhna Sargam",Romantic
Tera Hone Laga Hoon,"Alisha Chinai, Atif Aslam",Romantic
Sheila Ki Jawani,"Sunidhi Chauhan, Vishal Dadlani",Dance
Uff,"Benny Dayal, Harshdeep Kaur",Dance
Sunny Sunny,Yo Yo Honey Singh,Dance
Ghagra,"Rehka Bharadwaj, Vishal Dadlani",Dance
Paani Wala Dance,"Arko, Ikka, Shraddha Pandit",Dance
Dola Re Dola,"K.K., Kavita Krishnamurthy, Shreya Ghoshal",Dance
Jab Tum Chaho,"Darshan Raval, Mohammed Irfan, Palak Muchhal",Dance
Tere Bina Zindagi Se Koi Shikwa To Nahin,"Kishore Kumar, Lata Mangeshkar",Sad
