Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
GTO,(1999–2000),18,"Animation, Comedy, Drama",8.6,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.",Steve Blum,Tom Fahn,Jun'ichi Suwabe,Wataru Takagi
One Strange Rock,(2018– ),,Documentary,8.8,The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena; astronauts tell the story of Earth through a unique perspective.,Will Smith,Chris Hadfield,Jerry Linenger,Mae C. Jemison
"Bill Nye, the Science Guy",(1993–1998),,"Documentary, Comedy, Family",8.2,Scientist/comedian Bill Nye explores various aspects of science for young viewers.,Bill Nye,Pat Cashman,Michaela Leslie-Rule,Jaffar Smith
Liv and Maddie,(2013–2017),,"Comedy, Drama, Family",6.3,"Follows Liv, a popular television star whose show has just finished its run, and Maddie, an outstanding student and school basketball star whose popularity is on the rise, until Liv makes a return to their high school.",Dove Cameron,Joey Bragg,Tenzing Norgay Trainor,Kali Rocha
The Wrong Mans,(2013–2014),,"Comedy, Crime, Thriller",7.8,"From actor/writer duo James Corden and Mathew Baynton, The Wrong Mans series centers on Sam Pinkett and Phil Bourne, office workers for Berkshire County Council, who have their menial ...                See full summary »",Mathew Baynton,James Corden,Sarah Solemani,Dawn French
Dororo,-2019,,"Animation, Action, Adventure",8.4,"A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.",Rio Suzuki,Mugihito,Hiroki Suzuki,Mutsumi Sasaki
La casa de las flores,(2018–2020),18,"Comedy, Drama",7.7,A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.,Cecilia Suárez,Claudette Maillé,Dario Yazbek Bernal,Juan Pablo Medina
Hap and Leonard,(2016–2018),16,"Crime, Drama, Mystery",7.7,"Set in the late 1980's Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz.",James Purefoy,Michael Kenneth Williams,Tiffany Mack,Cranston Johnson
Mr. Sunshine,(2011–2012),,Comedy,6.8,"Ben Donovan manages The Sunshine Centre, a second rate sports arena in San Diego.",Matthew Perry,Andrea Anders,James Lesure,Nate Torrence
Murder in the First,(2014–2016),,"Crime, Drama, Mystery",7.3,"A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.",Taye Diggs,Kathleen Robertson,Ian Anthony Dale,Raphael Sbarge
Scott & Bailey,(2011–2016),,"Crime, Drama, Mystery",8,"Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.",Suranne Jones,Lesley Sharp,Tony Mooney,David Prosho
Plebs,(2013– ),,Comedy,7.9,"PLEBS follows three desperate young men from the suburbs as they try to get laid, hold down jobs, and climb the social ladder in the big city - a city that happens to be Ancient Rome.",Tom Rosenthal,Ryan Sampson,Tom Basden,Karl Theobald
JL50,(2020– ),16,"Drama, Sci-Fi, Thriller",7.5,"A plane is discovered to have recently crashed in West Bengal. However, what is so baffling about the incident is that plane originally went missing 35 years ago.",Abhay Deol,Pankaj Kapur,Ritika Anand,Piyush Mishra
Crossbones,-2014,,"Action, Adventure, Drama",6.5,Set during the golden age of piracy in the 1700s and centers on legendary pirate Blackbeard.,John Malkovich,Richard Coyle,Claire Foy,Yasmine Al Massri
Sunderland 'Til I Die,(2018– ),16,"Documentary, Sport",8.1,"Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year.",Nick Barnes,George Honeyman,Aiden McGeady,Gary Bennett
The Being Frank Show,(2010– ),,Talk-Show,6.7,"Variety show hosted by Frank D'Angelo with celebrity interviews, comedy bits and much more.",Frank D'Angelo,Glen Foster,Steven Joel Kerzner,Bai Ling
