Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
Six Feet Under,(2001–2005),15,"Comedy, Drama",8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose
NCIS: Naval Criminal Investigative Service,(2003– ),16,"Action, Crime, Drama",7.7,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",Mark Harmon,David McCallum,Sean Murray,Pauley Perrette
Riverdale,(2017– ),13,"Crime, Drama, Mystery",6.9,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",K.J. Apa,Lili Reinhart,Camila Mendes,Cole Sprouse
White Collar,(2009–2014),15,"Comedy, Crime, Drama",8.2,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",Matt Bomer,Tim DeKay,Willie Garson,Tiffani Thiessen
The Originals,(2013–2018),16,"Drama, Fantasy, Horror",8.2,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,Joseph Morgan,Daniel Gillies,Claire Holt,Phoebe Tonkin
Malcolm in the Middle,(2000–2006),12,"Comedy, Family",8,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",Frankie Muniz,Bryan Cranston,Justin Berfield,Erik Per Sullivan
Luke Cage,(2016–2018),18,"Action, Crime, Drama",7.3,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city.",Mike Colter,Simone Missick,Theo Rossi,Alfre Woodard
American Dad!,(2005– ),U,"Animation, Comedy",7.3,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.",Seth MacFarlane,Wendy Schaal,Scott Grimes,Rachael MacFarlane
One Punch Man: Wanpanman,(2015– ),16,"Animation, Action, Comedy",8.8,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar
Smallville,(2001–2011),,"Adventure, Drama, Romance",7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",Tom Welling,Michael Rosenbaum,Allison Mack,Kristin Kreuk
Desperate Housewives,(2004–2012),,"Comedy, Drama, Mystery",7.5,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.",Teri Hatcher,Felicity Huffman,Marcia Cross,Eva Longoria
Taboo,(2017– ),,"Drama, Mystery, Thriller",8.4,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.",Tom Hardy,David Hayman,Jonathan Pryce,Oona Chaplin
The Good Place,(2016–2020),13,"Comedy, Drama, Fantasy",8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,Kristen Bell,William Jackson Harper,Jameela Jamil,D'Arcy Carden
Iron Fist,(2017–2018),16,"Action, Adventure, Crime",6.5,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,Finn Jones,Jessica Henwick,Jessica Stroup,Tom Pelphrey
Dragon Ball Z,(1996–2003),,"Animation, Action, Adventure",8.7,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel
BoJack Horseman,(2014–2020),18,"Animation, Comedy, Drama",8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul
Revenge,(2011–2015),,"Drama, Mystery, Thriller",7.8,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,Madeleine Stowe,Emily VanCamp,Gabriel Mann,Nick Wechsler
Fear the Walking Dead,(2015– ),16,"Drama, Horror, Sci-Fi",6.9,"A Walking Dead spin-off, set in Los Angeles, following two families who must band together to survive the undead apocalypse.",Kim Dickens,Frank Dillane,Cliff Curtis,Rubén Blades
Penny Dreadful,(2014–2016),18,"Drama, Fantasy, Horror",8.2,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.",Josh Hartnett,Timothy Dalton,Eva Green,Reeve Carney
30 Rock,(2006–2013),,Comedy,8.2,"Liz Lemon (Tina Fey), head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind.",Tina Fey,Alec Baldwin,Tracy Morgan,Jack McBrayer
Supergirl,(2015–2021),12,"Action, Adventure, Drama",6.3,The adventures of Superman's cousin in her own superhero career.,Melissa Benoist,Chyler Leigh,David Harewood,Mehcad Brooks
Lie to Me,(2009–2011),,"Crime, Drama, Mystery",8,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies.",Tim Roth,Kelli Williams,Brendan Hines,Monica Raymund
The Expanse,(2015– ),16,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo
Cobra Kai,(2018– ),A,"Action, Comedy, Drama",8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Ralph Macchio,William Zabka,Xolo Maridueña,Courtney Henggeler
Grimm,(2011–2017),16,"Crime, Drama, Fantasy",7.8,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,David Giuntoli,Russell Hornsby,Silas Weir Mitchell,Sasha Roiz
Top Gear,(2002– ),13,"Adventure, Comedy, Reality-TV",8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",Jeremy Clarkson,Richard Hammond,James May,The Stig
This Is Us,(2016– ),16,"Comedy, Drama, Romance",8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz
Sex and the City,(1998–2004),A,"Comedy, Drama, Romance",7.1,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixon
The Newsroom,(2012–2014),15,Drama,8.6,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill
The Legend of Korra,(2012–2014),,"Animation, Action, Adventure",8.4,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,Janet Varney,P.J. Byrne,David Faustino,J.K. Simmons
Curb Your Enthusiasm,(2000– ),15,Comedy,8.7,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Larry David,Cheryl Hines,Jeff Garlin,Susie Essman
Mr. Bean,(1990–1995),,"Comedy, Family",8.5,"Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde
Weeds,(2005–2012),A,"Comedy, Crime, Drama",7.9,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is.",Mary-Louise Parker,Hunter Parrish,Alexander Gould,Kevin Nealon
Star Trek: The Next Generation,(1987–1994),U,"Action, Adventure, Mystery",8.6,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton
Fleabag,(2016–2019),18,"Comedy, Drama",8.7,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford
Orphan Black,(2013–2017),18,"Action, Drama, Sci-Fi",8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,Tatiana Maslany,Dylan Bruce,Jordan Gavaris,Kevin Hanchard
Gilmore Girls,(2000–2007),18,"Comedy, Drama",8.1,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",Lauren Graham,Alexis Bledel,Keiko Agena,Scott Patterson
Elementary,(2012–2019),16,"Crime, Drama, Mystery",7.9,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",Jonny Lee Miller,Lucy Liu,Aidan Quinn,Jon Michael Hill
Under the Dome,(2013–2015),,"Drama, Mystery, Sci-Fi",6.6,"An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too.",Mike Vogel,Rachelle Lefevre,Alexander Koch,Colin Ford
The Office,(2001–2003),,"Comedy, Drama",8.5,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis
The Killing,(2011–2014),,"Crime, Drama, Mystery",8.2,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",Mireille Enos,Joel Kinnaman,Billy Campbell,Liam James
Bates Motel,(2013–2017),16,"Drama, Horror, Mystery",8.2,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.",Vera Farmiga,Freddie Highmore,Max Thieriot,Nicola Peltz
"Love, Death & Robots",(2019– ),18,"Animation, Short, Comedy",8.5,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Scott Whyte,Nolan North,Matthew Yang King,Chris Cox
Star Trek: Discovery,(2017– ),15,"Action, Adventure, Drama",7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",Sonequa Martin-Green,Doug Jones,Anthony Rapp,Mary Wiseman
Married with Children,(1987–1997),,Comedy,8,"Al Bundy is a misanthropic women's shoe salesman with a miserable life. He hates his job, his wife is lazy, his son is dysfunctional (especially with women), and his daughter is dim-witted and promiscuous.",Ed O'Neill,Christina Applegate,Katey Sagal,Amanda Bearse
My Name Is Earl,(2005–2009),,Comedy,7.7,"A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization.",Jason Lee,Ethan Suplee,Jaime Pressly,Nadine Velazquez
Deadwood,(2004–2006),18,"Crime, Drama, History",8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif
Bodyguard,-2018,18,"Crime, Drama, Thriller",8.1,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,Richard Madden,Sophie Rundle,Vincent Franklin,Ash Tandon
Broadchurch,(2013–2017),16,"Crime, Drama, Mystery",8.4,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",David Tennant,Olivia Colman,Jodie Whittaker,Andrew Buchan
Misfits,(2009–2013),UA,"Comedy, Drama, Fantasy",8.2,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.",Nathan Stewart-Jarrett,Joseph Gilgun,Iwan Rheon,Lauren Socha
Black Sails,(2014–2017),18,"Adventure, Drama",8.2,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",Jessica Parker Kennedy,Toby Stephens,Hannah New,Zach McGowan
Legends of Tomorrow,(2016– ),A,"Action, Adventure, Drama",6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",Caity Lotz,Amy Louise Pemberton,Dominic Purcell,Brandon Routh
The OA,(2016–2019),A,"Drama, Fantasy, Mystery",7.9,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.",Brit Marling,Jason Isaacs,Scott Wilson,Alice Krige
